n,q,trial,action_budget,baseline,exact_value,greedy_value,greedy_gain_ratio
13,7,61,2,36.618822297683465,43.70302591159915,43.70302591159915,1.0
13,7,61,3,36.618822297683465,46.64683044584642,46.64683044584642,1.0
13,7,62,1,17.633155125009846,20.348793013672562,20.348793013672562,1.0
13,7,62,2,17.633155125009846,23.622849609017518,23.622849609017518,1.0
13,7,62,3,17.633155125009846,27.12550363507759,27.12550363507759,1.0
13,7,63,1,17.32969214116481,20.571464764882894,20.571464764882894,1.0
13,7,63,2,17.32969214116481,23.671441022840046,23.671441022840046,1.0
13,7,63,3,17.32969214116481,28.230333457373803,26.97662081780424,0.8849872587124463
13,7,64,1,20.503487866515094,26.61185786391762,26.61185786391762,1.0
13,7,64,2,20.503487866515094,30.837365890496816,30.837365890496816,1.0
13,7,64,3,20.503487866515094,35.429617054853935,35.429617054853935,1.0
13,7,65,1,17.504486917650425,20.216778086208834,20.216778086208834,1.0
13,7,65,2,17.504486917650425,22.518345370117476,22.518345370117476,1.0
13,7,65,3,17.504486917650425,25.634945042391415,25.634945042391415,1.0
13,7,66,1,21.820516462626433,25.8989973320333,25.8989973320333,1.0
13,7,66,2,21.820516462626433,31.551300904869553,31.551300904869553,1.0
13,7,66,3,21.820516462626433,36.66401447734516,36.66401447734516,1.0
