trial,seed,dimension,alternative_count,repetition,true_class,predicted_class,l1_distance,construction_epsilon,construction_residual_l1,analytic_separation_margin,ground_truth_witness_valid,tolerance,runtime_ms,coefficient_sum
165,20260725,3,4,45,near_boundary,separable,1.99999999895507e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.2965000021504238,1.0
166,20260725,3,4,46,near_boundary,separable,1.9999999993653012e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.2930000046035275,1.0
167,20260725,3,4,47,near_boundary,separable,1.9999999997184414e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.27770000451710075,1.0000000000000002
168,20260725,3,4,48,near_boundary,separable,2.000000000473659e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.2775000029942021,0.9999999999999999
169,20260725,3,4,49,near_boundary,separable,1.9999999985853903e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.2769999991869554,1.0000000000000002
170,20260725,3,4,50,near_boundary,separable,1.999999999467705e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.2724000078160316,1.0
171,20260725,3,4,51,near_boundary,separable,2.0000000008932274e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.27019999106414616,0.9999999999999999
172,20260725,3,4,52,near_boundary,separable,1.9999999998900434e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.27119999867863953,1.0
173,20260725,3,4,53,near_boundary,separable,1.9999999996060856e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.2888000017264858,1.0
174,20260725,3,4,54,near_boundary,separable,1.9999999993269962e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.27540000155568123,1.0
175,20260725,3,4,55,near_boundary,separable,1.9999999980950398e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.27439999394118786,1.0
176,20260725,3,4,56,near_boundary,separable,1.999999999974668e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.2738999901339412,1.0
177,20260725,3,4,57,near_boundary,separable,2.0000000000575105e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.27520000003278255,1.0
178,20260725,3,4,58,near_boundary,separable,2.0000000009225014e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.28580000798683614,0.9999999999999992
179,20260725,3,4,59,near_boundary,separable,1.9999999998295274e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.29799999902024865,1.0
180,20260725,5,5,0,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.3237000055378303,1.0
181,20260725,5,5,1,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.31709999893791974,0.9999999999999999
182,20260725,5,5,2,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.30519999563694,1.0
183,20260725,5,5,3,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.295000005280599,1.0000000000000004
184,20260725,5,5,4,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.3007000050274655,1.0
185,20260725,5,5,5,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.29460000223480165,0.9999999999999999
186,20260725,5,5,6,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.29579999682027847,1.0000000000000002
187,20260725,5,5,7,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.2982000005431473,0.9999999999999999
188,20260725,5,5,8,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.29170000925660133,0.9999999999999998
189,20260725,5,5,9,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.2905000001192093,0.9999999999999998
190,20260725,5,5,10,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.2933999930974096,1.0
191,20260725,5,5,11,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.32130000181496143,0.9999999999999999
192,20260725,5,5,12,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.3029999934369698,1.0
193,20260725,5,5,13,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.2931000053649768,0.9999999999999996
194,20260725,5,5,14,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.29209999775048345,1.0000000000000002
195,20260725,5,5,15,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.28449999808799475,0.9999999999999998
196,20260725,5,5,16,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.2918999962275848,1.0
197,20260725,5,5,17,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.33120000443886966,1.0
198,20260725,5,5,18,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.29930000891909003,1.0
199,20260725,5,5,19,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.2989999920828268,1.0000000000000002
200,20260725,5,5,20,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.2984999882755801,1.0
201,20260725,5,5,21,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.28959999326616526,1.0
202,20260725,5,5,22,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.2948000037577003,1.0
203,20260725,5,5,23,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.30429998878389597,1.0
